Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0603,3,100n,
"C4, C5, C6, C7, C8",0603,5,C,
J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Pin,
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Socket,
J4,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Conn_01x05_Socket,
Q1,SOT-23,1,BC807,
"R1, R2, R3, R4, R5, R6",0603,6,3.3k,
"TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D2.0mm,13,TestPoint,
U1,RPi_Pico_SMD_micro_version,1,Pico,
U2,hx711_module,1,HX711,
