Designator,Mid X,Mid Y,Rotation,Layer
C1,99.4658,-70.7919,270.0,top
C2,107.927628,-70.7919,270.0,top
C3,110.657712,-70.7919,270.0,top
C4,86.08,-42.3704,90.0,top
C5,88.7978,-42.345,90.0,top
C6,91.6172,-42.3958,90.0,top
C7,94.462,-42.3704,90.0,top
C8,97.3068,-42.2688,90.0,top
J1,81.652,-48.7204,270.0,top
J2,127.6344,-77.4308,0.0,top
J3,92.577,-78.7432,0.0,top
J4,81.7,-68.4308,270.0,top
Q1,88.575,-46.7625,0.0,top
R1,116.100568,-70.7919,90.0,top
R2,118.822,-70.7919,90.0,top
R3,102.187228,-70.7919,90.0,top
R4,105.002628,-70.7919,90.0,top
R5,113.37914,-70.7919,90.0,top
R6,89.5,-51.575,90.0,top
U1,110.1699,-53.431,0.0,top
U2,131.385,-54.985,90.0,top
